sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,d13c_carb,d18o_carb
C12_67.0_ICT_14,67,pink laminated crystalline limestone,,NA,NA,-9.182952881,-14.87120914
C12_67.0_ICT_15,67,pink laminated crystalline limestone,,NA,NA,-9.290429115,-14.97581768
C12_67.0_ICT_16,67,pink laminated crystalline limestone,,NA,NA,-9.027017593,-15.25536823
C12_67.0_ICT_17,67,pink laminated crystalline limestone,,NA,NA,-9.311408997,-15.28125286
C12_67.0_ICT_18,67,pink laminated crystalline limestone,,NA,NA,-9.645112991,-15.17187405
C12_67.0_ICT_19,67,pink laminated crystalline limestone,,NA,NA,-9.437279701,-15.27687645
C12_67.0_ICT_20,67,pink laminated crystalline limestone,,NA,NA,-9.139757156,-15.12206173
C12_67.0_ICT_21,67,pink laminated crystalline limestone,,NA,NA,-8.803505898,-14.75998306
C12_67.0_ICT_22,67,pink laminated crystalline limestone,,NA,NA,-9.236516953,-14.40095901
C12_67.0_ICT_23,67,pink laminated crystalline limestone,,NA,NA,-9.587784767,-14.83366394
C12_67.0_ICT_24,67,pink laminated crystalline limestone,,NA,NA,-9.30199337,-14.90512276
C12_67.0_ICT_25,67,pink laminated crystalline limestone,,NA,NA,-9.483856201,-14.88166618
C12_70.0_ICT_1,70,pink crystalline limestone,,NA,NA,-9.086294174,-14.97454834
C12_70.0_ICT_2,70,pink crystalline limestone,,NA,NA,-9.11542511,-14.99691963
C12_70.0_ICT_3,70,pink crystalline limestone,,NA,NA,-9.324119568,-14.9666853
C12_70.0_ICT_4,70,pink crystalline limestone,,NA,NA,-8.990869522,-14.94666767
C12_70.0_ICT_5,70,pink crystalline limestone,,NA,NA,-9.491481781,-15.23504925
C12_70.0_ICT_6,70,pink crystalline limestone,,NA,NA,-9.010566711,-15.10665035
C12_70.0_ICT_7,70,pink crystalline limestone,,NA,NA,-9.467363358,-14.9721365
C12_70.0_ICT_8,70,pink crystalline limestone,,NA,NA,-10.03999901,-14.88585758
C12_70.0_ICT_9,70,pink crystalline limestone,,NA,NA,-8.976530075,-15.03495979
C12_70.0_ICT_10,70,pink crystalline limestone,,NA,NA,-9.309007645,-14.86213207
C12_70.0_ICT_11,70,pink crystalline limestone,,NA,NA,-9.066522598,-14.88284206
C12_70.0_ICT_12,70,pink crystalline limestone,,NA,NA,-10.015028,-15.3510561
C12_70.0_ICT_13,70,pink crystalline limestone,,NA,NA,-9.401185036,-14.94122219
C12_70.0_ICT_14,70,pink crystalline limestone,,NA,NA,-10.14382839,-14.98209572
C12_70.0_ICT_15,70,pink crystalline limestone,,NA,NA,-9.191836357,-15.20839024
C12_70.0_ICT_16,70,pink crystalline limestone,,NA,NA,-9.089471817,-14.89547634
C12_70.0_ICT_17,70,pink crystalline limestone,,NA,NA,-9.674787521,-14.97533131
C12_70.0_ICT_18,70,pink crystalline limestone,,NA,NA,-9.298974991,-15.02655411
C12_70.0_ICT_19,70,pink crystalline limestone,,NA,NA,-8.956892014,-14.91298199
C12_70.0_ICT_20,70,pink crystalline limestone,,NA,NA,-9.620279312,-15.04650211
C12_70.0_ICT_21,70,pink crystalline limestone,,NA,NA,-10.59713936,-15.06550121
C12_70.0_ICT_22,70,pink crystalline limestone,,NA,NA,-9.908418655,-15.03671455
C12_70.0_ICT_23,70,pink crystalline limestone,,NA,NA,-9.207263947,-15.04765797
C12_70.0_ICT_24,70,pink crystalline limestone,,NA,NA,-9.404315948,-15.07590866
C12_70.0_ICT_25,70,pink crystalline limestone,,NA,NA,-8.875367165,-15.30610561
