sample_name,sample_height,sample_facies,sample_features,clast_len_cm,clast_width_cm,min_drildist_from_matrix_mm,d13c_carb,d18o_carb
C16_105.1_ICT_100,105.1,tan crystalline limestone,,9,3,NaN,-6.287325859,-21.45601654
C16_108.0_ICT_1,108,dark grey grainstone,,,,,-2.599950075,-17.994524
C16_108.0_ICT_2,108,tan crystalline limestone,,,,,-13.1795063,-18.01564407
C16_108.0_ICT_3,108,sandy dolostone,,,,,-6.557443142,-15.90987206
C16_108.0_ICT_4,108,sandy dolostone,,,,,-7.142252922,-13.90861225
C16_108.0_ICT_5,108,sandy limestone,,,,,-3.43490696,-17.90447807
C16_108.0_ICT_6,108,dolostone,,,,,-4.211815357,-16.74839592
C16_108.0_ICT_7,108,sandy limestone,,,,,-7.781103134,-17.19736099
C16_108.0_ICT_8,108,grey crystalline limestone,,,,,-7.703428745,-18.3225441
C16_108.0_ICT_9,108,grey crystalline limestone,,,,,-8.0449543,-17.95473099
C16_108.0_ICT_10,108,limestone cemented sandstone,,,,,-7.795036793,-18.11085892
C16_108.0_ICT_11,108,limestone cemented sandstone,,,,,-7.316988945,-18.16671371
C16_108.0_ICT_12,108,sandy limestone,,,,,-7.168256283,-14.42960453
C16_108.0_ICT_13,108,sandy limestone,,,,,-7.855228901,-17.06511116
C16_108.0_ICT_14,108,grey crystalline limestone,,,,,-7.31792593,-18.4603653
C16_108.0_ICT_15,108,sandy limestone,,,,,-6.972035408,-19.54565811
C16_108.0_ICT_16,108,grey crystalline limestone,,,,,-7.575829506,-18.5726757
C16_108.0_ICT_17,108,grey crystalline limestone,,,,,-7.767544746,-18.0761795
C16_108.0_ICT_18,108,dark grey grainstone,,,,,-7.467267513,-18.431427
C16_108.0_ICT_19,108,tan crystalline limestone,,,,,-7.199090958,-17.78862762
C16_108.0_ICT_20,108,dolostone,,,,,0.076364994,-13.00788403
C16_108.0_ICT_21,108,limestone cemented sandstone,,,,,-6.297574997,-19.10260391
C16_108.0_ICT_22,108,sandy limestone,,,,,-4.681069851,-17.9071331
C16_108.0_ICT_23,108,limestone cemented sandstone,,,,,-8.547019005,-17.80479622
C16_108.0_ICT_24,108,grey crystalline limestone,,,,,-6.858623505,-19.67728806
C16_108.0_ICT_25,108,grey crystalline limestone,,,,,-6.327698708,-21.8657074
C16_108.0_ICT_26,108,sandy limestone,,,,,-6.000980854,-23.339077
C16_108.0_ICT_27,108,sandy limestone,,,,,-6.113436699,-22.14075089
C16_108.0_ICT_28,108,grey crystalline limestone,,,,,-6.055178642,-22.43504524
C16_108.0_ICT_29,108,grey crystalline limestone,,,,,-6.007702827,-22.24333572
C16_108.0_ICT_30,108,sandy limestone,,,,,-7.053929329,-17.06476021
C16_108.0_ICT_31,108,sandy limestone,,,,,-1.833704233,-18.02342987
C16_108.0_ICT_32,108,grey crystalline limestone,,,,,-7.438447952,-17.99064255
C16_108.0_ICT_33,108,sandy limestone,,,,,-6.680410862,-14.25356579
C16_108.0_ICT_34,108,grey crystalline limestone,,,,,-6.527718544,-19.61888123
C16_108.0_ICT_35,108,sandy limestone,,,,,-5.448113441,-16.28038025
C16_110.0_ICT_1,110,sandy limestone,,,,,-8.505914688,-17.32653427
C16_110.0_ICT_2,110,dark grey grainstone,,,,,-7.75345993,-18.22607613
C16_110.0_ICT_3,110,grey crystalline limestone,,,,,-2.178496361,-18.20267677
C16_110.0_ICT_4,110,sandy limestone,,,,,-7.985643387,-17.74344444
C16_110.0_ICT_5,110,sandy limestone,,,,,-6.629780769,-16.36494064
C16_110.0_ICT_6,110,sandy dolostone,,,,,-6.71986866,-16.61721802
C16_110.0_ICT_7,110,grey crystalline limestone,,,,,-8.044440269,-18.07740021
C16_110.0_ICT_8,110,grey crystalline limestone,,,,,-8.876245499,-18.32743835
C16_110.0_ICT_9,110,sandy limestone,,,,,-8.015924454,-18.3631897
C16_110.0_ICT_10,110,grey crystalline limestone,,,,,-8.059309959,-18.5333252
C16_110.0_ICT_11,110,grey crystalline limestone,,,,,-7.712846279,-18.0483036
C16_110.0_ICT_12,110,sandy limestone,,,,,-6.588774681,-17.15621567
C16_110.0_ICT_13,110,sandy limestone,,,,,-6.736638069,-17.11145401
C16_110.0_ICT_14,110,sandy limestone,,,,,-7.85691309,-18.07853127
C16_111.0_ICT_1,111,sandy limestone,,,,,-7.645605087,-18.53878403
C16_111.0_ICT_2,111,sandy limestone,,,,,-6.599839211,-19.21372414
C16_111.0_ICT_3,111,tan sandy limestone,,,,,-4.953502178,-16.57801819
C16_111.0_ICT_4,111,sandy limestone,,,,,-7.090482712,-18.35610008
C16_111.0_ICT_5,111,tan sandy limestone,,,,,-5.935267925,-16.6480217
C16_111.0_ICT_6,111,sandy limestone,,,,,-4.388784409,-18.26225471
C16_111.0_ICT_7,111,grey crystalline limestone,,,,,-7.728377342,-19.69872284
C16_111.0_ICT_8,111,tan sandy limestone,,,,,-4.855582237,-17.52757645
C16_111.0_ICT_9,111,sandy limestone,,,,,-7.982806206,-18.60428238
C16_111.0_ICT_10,111,silty limestone,,,,,-8.308586121,-18.76777649
C16_111.0_ICT_11,111,silty limestone,,,,,-7.253349304,-20.92621231
C16_111.0_ICT_12,111,ls mudstone,,,,,-7.906303406,-19.2397728
