,index,member,thickness,lithology,facies,grade,features,sample_name,sample_height,sample_facies,sample_features,facies_simplified,sample_facies_simplified,trace_facies_simplified,sample_lith,trace_facies,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa,sample_height_scaled
42,Temple Lake,TLM,,,,,,C8_87.2,87.2,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.275121689,-15.83800697,257.8629819,8.486669667,37.28691301,8.813733043,31.86822892,0.321980846,21.51040181,0.629224594,6.960148212,0.88884636,1.664865971,0.715322057,94.0
43,Temple Lake,TLM,,,,,,C8_88.3,88.3,sandy grainstone,,,sandy limestone,,sandy ls,,-9.525035858,-15.63951683,,,,,,,,,,,,,95.1
44,Temple Lake,TLM,,,,,,C8_91.0,91.0,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.167837143,-15.80129814,174.1888492,9.625119456,29.91188626,9.050260934,27.77302453,1.334387649,23.23841396,2.085368795,6.088375474,0.960060788,3.688380131,0.413996636,97.8
45,Temple Lake,TLM,,,,,,C8_91.8,91.8,sandy grainstone,,,sandy limestone,,sandy ls,,-8.034353256,-15.48207855,,,,,,,,,,,,,98.6
46,Temple Lake,TLM,,,,,,C8_92.9,92.9,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.433534622,-15.62665749,212.1723161,10.8875401,31.83361358,7.058643427,30.43050448,0.634374114,23.64143066,1.90079163,6.75182853,1.011053441,1.400720187,0.674560189,99.7
47,Temple Lake,TLM,,,,,,C8_94.0,94.0,pink laminated crystalline limestone,,,crystalline limestone,,ls,,-9.315113068,-15.5073204,,,,,,,,,,,,,100.8
48,Temple Lake,TLM,,,,,,C8_95.0,95.0,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.414142609,-16.31380463,95.35636555,6.901320431,23.71243411,4.439006612,13.10942625,0.470088231,21.89618685,2.792909722,2.893388109,0.938062109,1.143589545,0.259670846,101.8
49,Temple Lake,TLM,,,,,,C8_97.3,97.3,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-9.297031403,-15.59991741,66.75635475,6.375974697,18.90259083,2.91548902,15.6794785,0.039302642,20.24309423,2.852911485,18.91330091,0.939420853,0.650500374,0.250254514,104.1
50,Temple Lake,TLM,,,,,,C8_97.7,97.7,sandy grainstone,,,sandy limestone,,sandy ls,,-9.081899643,-16.00537491,,,,,,,,,,,,,104.5
51,Temple Lake,TLM,,,,,,C8_98.7,98.7,sandy grainstone,,,sandy limestone,sandy limestone,sandy ls,sandy grainstone,-7.405174255,-14.96997261,163.4438344,6.472028032,46.51386081,7.162140417,27.80907568,0.114136173,19.98633504,0.679604557,6.053817368,0.771119323,1.880894791,0.27909194,105.5
52,Temple Lake,TLM,,,,,,C8_99.7,99.7,pink crystalline limestone,,,crystalline limestone,,ls,,-9.070693016,-15.28075504,,,,,,,,,,,,,106.5
53,Temple Lake,TLM,,,,,,C8_100.7,100.7,pink crystalline limestone,,,crystalline limestone,,ls,,-9.204847336,-15.45738602,,,,,,,,,,,,,107.5
54,Temple Lake,TLM,,,,,,C8_101.7,101.7,sandy green crystalline limestone,,,sandy limestone,,sandy ls,,-9.154611588,-15.3939085,,,,,,,,,,,,,108.5
55,Temple Lake,TLM,,,,,,C8_102.7,102.7,sandy grainstone,,,sandy limestone,,sandy ls,,-8.770903587,-15.38203621,,,,,,,,,,,,,109.5
56,Temple Lake,TLM,,,,,,C8_104.1,104.1,sandy grainstone,,,sandy limestone,,sandy ls,,-8.689674377,-15.40024185,,,,,,,,,,,,,110.89999999999999
57,Temple Lake,TLM,,,,,,C8_104.6,104.6,sandy crystalline limestone with microcrystalline dolomite,,,sandy dolostone,sandy dolostone,dol,sandy crystalline limestone with microcrystalline dolomite,-8.916954041,-15.21728611,8.091503408,2.821718596,14.00821924,0.238527831,0.837115438,0.135868956,10.39436485,1.407345777,1.51233298,0.531787425,0.020365687,0.244913831,111.39999999999999
58,Temple Lake,TLM,,,,,,C8_105.3,105.3,sandy tan crystalline limestone,,,sandy limestone,,sandy ls,,-8.661564827,-15.5120573,,,,,,,,,,,,,112.1
59,Temple Lake,TLM,,,,,,C8_106.0,106.0,sandy grainstone,,,sandy limestone,,sandy ls,,-8.801700592,-15.2699213,,,,,,,,,,,,,112.8
60,Temple Lake,TLM,,,,,,C8_106.7,106.7,sandy green and pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.954784393,-15.16554642,,,,,,,,,,,,,113.5
61,Temple Lake,TLM,,,,,,C8_108.0,108.0,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.736209869,-15.30935097,,,,,,,,,,,,,114.8
62,Temple Lake,TLM,,,,,,C8_108.2,108.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.803098679,-15.28103065,,,,,,,,,,,,,115.0
63,Temple Lake,TLM,,,,,,C8_110.2,110.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.703027725,-15.22443295,,,,,,,,,,,,,117.0
64,Temple Lake,TLM,,,,,,C8_111.0_white,111.0,sandy tan crystalline limestone,,,sandy limestone,,sandy ls,,-8.651486397,-15.19807339,,,,,,,,,,,,,117.8
65,Temple Lake,TLM,,,,,,C8_111.0_purple,111.0,sandy pink crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy pink crystalline limestone,-8.641766548,-15.30418301,11.16254322,3.226210213,16.17221755,0.436480279,1.351630592,0.144693534,8.778123103,1.641191432,2.255019126,0.440798599,0.043498941,0.23616814,117.8
66,Temple Lake,TLM,,,,,,C8_111.2,111.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.634111404,-15.34118462,,,,,,,,,,,,,118.0
67,Temple Lake,TLM,,,,,,C8_111.4,111.4,sandy grainstone,,,sandy limestone,,sandy ls,,-8.517918587,-15.10918713,,,,,,,,,,,,,118.2
68,Temple Lake,TLM,,,,,,C8_111.9,111.9,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.480949402,-15.36996651,,,,,,,,,,,,,118.7
69,Temple Lake,TLM,,,,,,C8_112.3,112.3,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.611654282,-15.35371494,,,,,,,,,,,,,119.1
70,Temple Lake,TLM,,,,,,C8_112.5,112.5,sandy grainstone,,,sandy limestone,,sandy ls,,-8.601378441,-15.33778858,,,,,,,,,,,,,119.3
71,Temple Lake,TLM,,,,,,C8_112.7,112.7,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.575074196,-15.47172832,,,,,,,,,,,,,119.5
72,Temple Lake,TLM,,,,,,C8_114.9,114.9,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.392810822,-15.61178398,,,,,,,,,,,,,121.7
73,Temple Lake,TLM,,,,,,C8_115.1_white,115.1,sandy tan crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy tan crystalline limestone,-8.483319283,-15.27438736,7.936083154,2.724317112,15.62806046,0.191528123,1.192034563,0.008123296,7.643153553,0.588170969,1.936484399,0.3640146,0.016464893,0.151817979,121.89999999999999
74,Temple Lake,TLM,,,,,,C8_115.1_purple,115.1,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.460116386,-15.12555599,,,,,,,,,,,,,121.89999999999999
75,Temple Lake,TLM,,,,,,C8_115.5,115.5,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.459472656,-15.25253201,,,,,,,,,,,,,122.3
76,Temple Lake,TLM,,,,,,C8_116.1,116.1,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.401789665,-15.35275841,,,,,,,,,,,,,122.89999999999999
77,Temple Lake,TLM,,,,,,C8_116.4,116.4,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.490049362,-15.23894405,,,,,,,,,,,,,123.2
78,Temple Lake,TLM,,,,,,C8_117.5,117.5,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.510773659,-15.18965721,,,,,,,,,,,,,124.3
79,Temple Lake,TLM,,,,,,C8_117.8,117.8,sandy grainstone,,,sandy limestone,,sandy ls,,-8.287774086,-15.2156601,,,,,,,,,,,,,124.6
80,Temple Lake,TLM,,,,,,C8_118.4,118.4,sandy tan crystalline limestone,,,sandy limestone,,sandy ls,,-8.378112793,-15.11946678,,,,,,,,,,,,,125.2
81,Temple Lake,TLM,,,,,,C8_119.8,119.8,sandy tan crystalline limestone,,,sandy limestone,sandy limestone,sandy ls,sandy tan crystalline limestone,-8.261930466,-15.12695885,16.55380347,2.577439985,12.94559922,0.450721755,2.069145376,0.25098285,6.418751086,1.920369344,3.244807703,0.415629942,0.028473818,0.510254105,126.6
82,Temple Lake,TLM,,,,,,C8_120.7,120.7,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.336723328,-14.4634552,,,,,,,,,,,,,127.5
83,Temple Lake,TLM,,,,,,C8_122.2,122.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.207653046,-14.80610752,,,,,,,,,,,,,129.0
84,Temple Lake,TLM,,,,,,C8_123.2,123.2,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-8.123065948,-14.89665222,,,,,,,,,,,,,130.0
85,Temple Lake,TLM,,,,,,C8_124.1,124.1,sandy pink crystalline limestone,,,sandy limestone,,sandy ls,,-7.993663788,-15.12212563,,,,,,,,,,,,,130.9
