run_no,sample_simple,sample_name,member,type,loc,facies,features,thin_section,d13c_carb,d18o_carb,Li_umol_molCa,Na_mmol_molCa,Mg_mmol_molCa,Al_mmol_molCa,K_mmol_molCa,V_umol_molCa,Mn_mmol_molCa,Fe_mmol_molCa,Rb_umol_molCa,Sr_mmol_molCa,Th_umol_molCa,U_umol_molCa
1,CV34,C1_190.5_ICT_5,WMM,ict,gsm_type_ict,ls mudstone,,,-7.9592466,-15.82437325,5.430911129,0.633446791,16.08862796,0.056030958,0.209907673,0.031269013,4.260034654,0.972570125,0.477420149,0.436961465,0.002053989,0.18302894
1,CV42,C1_190.5_ICT_7,WMM,ict,gsm_type_ict,ls mudstone,,,-1.5727801,-15.70087242,4.633961055,0.465973579,25.47083364,0.070728001,-0.043417137,0.80732606,1.462483497,0.630234944,0.220033365,3.079689593,0.000934596,0.453121209
1,CV106,C12_11.6_ICT_4,WMM,ict,boomerang_ict,dolostone,,,-8.8434219,-11.66735363,27.80590737,1.22984709,615.0910326,0.095791684,3.760449751,0.112007148,16.75288712,34.28034569,7.422329243,0.275336036,0.004457131,0.118231384
1,CV109,C12_12.0_ICT_29,WMM,ict,boomerang_ict,dolostone,,,-7.5988746,-12.67978764,56.87738251,1.328138107,480.3864918,0.112805173,4.28225115,-0.025837628,16.11508898,29.87939813,9.81308126,0.670957198,0.005215767,0.145441452
1,CV104,C12_12.0_ICT_4,WMM,ict,boomerang_ict,sandy limestone,,,-9.0696354,-10.09078884,32.84427406,1.765872657,478.8308814,0.081915422,2.394650006,-0.035374884,16.88818501,7.301433293,4.469401544,0.122218893,0.003376909,0.123192786
1,CV91,C12_17.0_ICT_14,WMM,ict,boomerang_ict,sandy grey crystalline limestone,,,-10.030611,-15.34736919,7.143313765,1.430002897,16.23213413,0.083075984,0.31495893,-0.055850379,8.476684123,4.245399792,0.288378957,0.629485815,0.021883967,0.173580655
1,CV100,C12_17.0_ICT_19,WMM,ict,boomerang_ict,sandy grey crystalline limestone,,,-9.4462538,-15.4034481,8.995207335,1.050014405,13.20000183,0.203707025,0.456269374,0.020165409,3.730955356,2.342723996,0.442650709,0.493289088,0.046339607,0.099132798
1,CV101,C12_17.0_ICT_22,WMM,ict,boomerang_ict,sandy grey crystalline limestone,,,-9.3883886,-15.33666134,9.139049527,1.038657309,16.62814001,0.189382074,0.378000846,0.220536194,3.613498165,2.43195404,0.435897849,0.51125664,0.015585864,0.129639652
1,CV99,C12_17.0_ICT_25,WMM,ict,boomerang_ict,grey crystalline limestone,,,-9.5084963,-15.20248699,8.287616238,1.689211847,17.30561929,0.256182271,0.556674707,0.119412623,5.816514904,3.0070269,0.586619562,0.519977101,0.012637775,0.184926355
1,CV94,C12_17.0_ICT_34,WMM,ict,boomerang_ict,grey crystalline limestone,,,-9.8368225,-14.95411587,14.50238216,1.731629065,12.5180016,0.302920029,0.48124024,0.073604707,5.818574809,2.683407567,0.707046331,0.356859026,0.019189192,0.165666594
